 r_peak96.000000 r_peak_value1.680415 rr_pre_interval96.000000 rr_post_interval98.000000 p_onset3.000000 p_onset_val1.492136 p_peak76.000000 p_peak_val-0.145939 p_end79.000000 p_end_val-0.133384 qrs_onset86.000000 qrs_onset_val0.148638 qrs_end28.000000 qrs_end_val-0.190160 t_peak22.000000 t_peak_val0.000991 t_end98.000000 t_end_val0.299376
 r_peak478402.000000 r_peak_value1.867699 rr_pre_interval203.000000 rr_post_interval241.000000 p_onset190.000000 p_onset_val-0.080014 p_peak213.000000 p_peak_val0.000755 p_end220.000000 p_end_val-0.026675 qrs_onset227.000000 qrs_onset_val0.463890 qrs_end14.000000 qrs_end_val2.116852 t_peak20.000000 t_peak_val1.955519 t_end184.000000 t_end_val-0.103258
 r_peak478643.000000 r_peak_value1.604187 rr_pre_interval241.000000 rr_post_interval380.000000 p_onset291.000000 p_onset_val-0.041916 p_peak332.000000 p_peak_val0.051830 p_end338.000000 p_end_val0.050936 qrs_onset367.000000 qrs_onset_val0.574855 qrs_end24.000000 qrs_end_val-0.448901 t_peak122.000000 t_peak_val0.251318 t_end125.000000 t_end_val0.225221
 r_peak479023.000000 r_peak_value1.772817 rr_pre_interval380.000000 rr_post_interval349.000000 p_onset277.000000 p_onset_val0.013512 p_peak328.000000 p_peak_val0.118888 p_end325.000000 p_end_val0.038795 qrs_onset332.000000 qrs_onset_val0.429421 qrs_end20.000000 qrs_end_val-0.394316 t_peak174.000000 t_peak_val0.117636 t_end204.000000 t_end_val-0.070186
 r_peak479372.000000 r_peak_value1.696116 rr_pre_interval349.000000 rr_post_interval298.000000 p_onset200.000000 p_onset_val-0.005609 p_peak277.000000 p_peak_val0.081740 p_end278.000000 p_end_val0.146521 qrs_onset285.000000 qrs_onset_val0.475141 qrs_end18.000000 qrs_end_val-0.287081 t_peak88.000000 t_peak_val0.064593 t_end92.000000 t_end_val0.050407
 r_peak479670.000000 r_peak_value1.090658 rr_pre_interval298.000000 rr_post_interval282.000000 p_onset243.000000 p_onset_val-0.021430 p_peak261.000000 p_peak_val0.203902 p_end259.000000 p_end_val0.103636 qrs_onset266.000000 qrs_onset_val0.464638 qrs_end16.000000 qrs_end_val-0.193904 t_peak90.000000 t_peak_val0.124686 t_end126.000000 t_end_val-0.046082
 r_peak479952.000000 r_peak_value1.569560 rr_pre_interval282.000000 rr_post_interval246.000000 p_onset114.000000 p_onset_val-0.028776 p_peak168.000000 p_peak_val0.073325 p_end209.000000 p_end_val-0.036345 qrs_onset224.000000 qrs_onset_val-0.036938 qrs_end15.000000 qrs_end_val-0.289140 t_peak115.000000 t_peak_val-0.027475 t_end167.000000 t_end_val0.057056
 r_peak480198.000000 r_peak_value1.783470 rr_pre_interval246.000000 rr_post_interval252.000000 p_onset128.000000 p_onset_val-0.113382 p_peak169.000000 p_peak_val0.071240 p_end192.000000 p_end_val-0.021298 qrs_onset237.000000 qrs_onset_val0.362056 qrs_end21.000000 qrs_end_val-0.362941 t_peak84.000000 t_peak_val0.052449 t_end111.000000 t_end_val-0.100623
 r_peak480450.000000 r_peak_value1.505097 rr_pre_interval252.000000 rr_post_interval147.000000 p_onset93.000000 p_onset_val-0.019011 p_peak126.000000 p_peak_val0.317491 p_end125.000000 p_end_val0.187569 qrs_onset132.000000 qrs_onset_val-0.328511 qrs_end17.000000 qrs_end_val-0.251252 t_peak84.000000 t_peak_val-0.001128 t_end93.000000 t_end_val-0.019011
 r_peak480597.000000 r_peak_value0.694715 rr_pre_interval147.000000 rr_post_interval300.000000 p_onset186.000000 p_onset_val-0.061789 p_peak225.000000 p_peak_val0.084140 p_end254.000000 p_end_val0.015240 qrs_onset284.000000 qrs_onset_val0.196776 qrs_end16.000000 qrs_end_val-0.141176 t_peak63.000000 t_peak_val0.273276 t_end124.000000 t_end_val0.053446
 r_peak480897.000000 r_peak_value1.153342 rr_pre_interval300.000000 rr_post_interval244.000000 p_onset129.000000 p_onset_val0.135263 p_peak147.000000 p_peak_val0.068119 p_end171.000000 p_end_val0.062744 qrs_onset224.000000 qrs_onset_val-0.020219 qrs_end20.000000 qrs_end_val-0.309464 t_peak129.000000 t_peak_val0.135263 t_end171.000000 t_end_val0.062744
 r_peak481141.000000 r_peak_value1.683212 rr_pre_interval244.000000 rr_post_interval303.000000 p_onset240.000000 p_onset_val-0.063466 p_peak282.000000 p_peak_val0.101111 p_end280.000000 p_end_val0.040907 qrs_onset287.000000 qrs_onset_val0.411847 qrs_end20.000000 qrs_end_val-0.344782 t_peak174.000000 t_peak_val0.039622 t_end178.000000 t_end_val0.028195
 r_peak481444.000000 r_peak_value1.713980 rr_pre_interval303.000000 rr_post_interval251.000000 p_onset135.000000 p_onset_val0.003418 p_peak165.000000 p_peak_val0.071287 p_end182.000000 p_end_val0.061568 qrs_onset238.000000 qrs_onset_val0.593306 qrs_end21.000000 qrs_end_val-0.322385 t_peak134.000000 t_peak_val0.026882 t_end137.000000 t_end_val-0.003447
 r_peak481695.000000 r_peak_value1.334966 rr_pre_interval251.000000 rr_post_interval204.000000 p_onset143.000000 p_onset_val-0.079734 p_peak176.000000 p_peak_val-0.014641 p_end185.000000 p_end_val0.035249 qrs_onset192.000000 qrs_onset_val0.451723 qrs_end19.000000 qrs_end_val-0.333309 t_peak79.000000 t_peak_val0.089344 t_end83.000000 t_end_val0.002337
 r_peak481899.000000 r_peak_value0.890862 rr_pre_interval204.000000 rr_post_interval151.000000 p_onset83.000000 p_onset_val0.159547 p_peak130.000000 p_peak_val0.139545 p_end129.000000 p_end_val0.081269 qrs_onset136.000000 qrs_onset_val-0.192115 qrs_end20.000000 qrs_end_val-0.299106 t_peak86.000000 t_peak_val0.233591 t_end117.000000 t_end_val0.041708
 r_peak482050.000000 r_peak_value0.684748 rr_pre_interval151.000000 rr_post_interval362.000000 p_onset239.000000 p_onset_val-0.015425 p_peak309.000000 p_peak_val0.026316 p_end321.000000 p_end_val-0.011568 qrs_onset340.000000 qrs_onset_val-0.083214 qrs_end14.000000 qrs_end_val-0.097086 t_peak131.000000 t_peak_val1.122231 t_end157.000000 t_end_val-0.230891
 r_peak482412.000000 r_peak_value1.648842 rr_pre_interval362.000000 rr_post_interval187.000000 p_onset101.000000 p_onset_val0.009643 p_peak131.000000 p_peak_val0.086929 p_end148.000000 p_end_val0.019014 qrs_onset168.000000 qrs_onset_val0.062463 qrs_end20.000000 qrs_end_val-0.366016 t_peak89.000000 t_peak_val0.033858 t_end101.000000 t_end_val0.009643
 r_peak482599.000000 r_peak_value2.008700 rr_pre_interval187.000000 rr_post_interval264.000000 p_onset177.000000 p_onset_val0.034939 p_peak202.000000 p_peak_val0.080956 p_end234.000000 p_end_val-0.030031 qrs_onset252.000000 qrs_onset_val0.451741 qrs_end19.000000 qrs_end_val-0.320409 t_peak76.000000 t_peak_val0.040580 t_end83.000000 t_end_val0.010017
 r_peak482863.000000 r_peak_value1.034766 rr_pre_interval264.000000 rr_post_interval259.000000 p_onset136.000000 p_onset_val0.141604 p_peak179.000000 p_peak_val0.086038 p_end186.000000 p_end_val0.052135 qrs_onset245.000000 qrs_onset_val0.097260 qrs_end16.000000 qrs_end_val-0.159560 t_peak88.000000 t_peak_val0.191634 t_end130.000000 t_end_val0.142060
 r_peak483122.000000 r_peak_value0.847885 rr_pre_interval259.000000 rr_post_interval196.000000 p_onset80.000000 p_onset_val0.085376 p_peak124.000000 p_peak_val0.035441 p_end139.000000 p_end_val-0.047177 qrs_onset181.000000 qrs_onset_val0.059972 qrs_end14.000000 qrs_end_val-0.162806 t_peak81.000000 t_peak_val0.092868 t_end120.000000 t_end_val-0.009825
 r_peak483318.000000 r_peak_value1.409439 rr_pre_interval196.000000 rr_post_interval185.000000 p_onset102.000000 p_onset_val-0.049265 p_peak137.000000 p_peak_val-0.031302 p_end141.000000 p_end_val-0.061490 qrs_onset161.000000 qrs_onset_val-0.086567 qrs_end18.000000 qrs_end_val-0.286565 t_peak77.000000 t_peak_val0.107290 t_end82.000000 t_end_val0.099342
 r_peak483503.000000 r_peak_value1.544013 rr_pre_interval185.000000 rr_post_interval146.000000 p_onset107.000000 p_onset_val-0.074213 p_peak125.000000 p_peak_val0.070019 p_end124.000000 p_end_val0.009015 qrs_onset131.000000 qrs_onset_val0.240128 qrs_end22.000000 qrs_end_val-0.397852 t_peak79.000000 t_peak_val0.093074 t_end80.000000 t_end_val0.084015
 r_peak483649.000000 r_peak_value1.408606 rr_pre_interval146.000000 rr_post_interval216.000000 p_onset173.000000 p_onset_val-0.007099 p_peak195.000000 p_peak_val0.032382 p_end185.000000 p_end_val-0.014091 qrs_onset192.000000 qrs_onset_val-0.030581 qrs_end19.000000 qrs_end_val-0.262207 t_peak106.000000 t_peak_val0.000443 t_end150.000000 t_end_val-0.042161
 r_peak483865.000000 r_peak_value1.750577 rr_pre_interval216.000000 rr_post_interval291.000000 p_onset135.000000 p_onset_val-0.048625 p_peak178.000000 p_peak_val0.080218 p_end184.000000 p_end_val0.065421 qrs_onset278.000000 qrs_onset_val0.409074 qrs_end20.000000 qrs_end_val-0.336380 t_peak172.000000 t_peak_val0.071691 t_end175.000000 t_end_val0.043760
 r_peak484156.000000 r_peak_value1.152211 rr_pre_interval291.000000 rr_post_interval205.000000 p_onset133.000000 p_onset_val0.052650 p_peak162.000000 p_peak_val0.086929 p_end171.000000 p_end_val0.032744 qrs_onset189.000000 qrs_onset_val0.231223 qrs_end15.000000 qrs_end_val-0.214778 t_peak92.000000 t_peak_val0.058321 t_end101.000000 t_end_val0.015563
 r_peak484361.000000 r_peak_value1.098480 rr_pre_interval205.000000 rr_post_interval134.000000 p_onset25.000000 p_onset_val-0.262336 p_peak85.000000 p_peak_val0.140265 p_end90.000000 p_end_val0.123087 qrs_onset119.000000 qrs_onset_val-0.127586 qrs_end14.000000 qrs_end_val-0.130171 t_peak79.000000 t_peak_val0.087663 t_end84.000000 t_end_val0.130703
 r_peak484495.000000 r_peak_value1.059499 rr_pre_interval134.000000 rr_post_interval135.000000 p_onset37.000000 p_onset_val-0.331159 p_peak95.000000 p_peak_val0.084501 p_end104.000000 p_end_val0.042684 qrs_onset120.000000 qrs_onset_val0.029221 qrs_end20.000000 qrs_end_val-0.314280 t_peak77.000000 t_peak_val0.020536 t_end104.000000 t_end_val0.042684
 r_peak484630.000000 r_peak_value1.259441 rr_pre_interval135.000000 rr_post_interval229.000000 p_onset164.000000 p_onset_val0.019028 p_peak204.000000 p_peak_val0.136412 p_end200.000000 p_end_val0.084624 qrs_onset207.000000 qrs_onset_val0.103701 qrs_end14.000000 qrs_end_val-0.086689 t_peak107.000000 t_peak_val0.018178 t_end134.000000 t_end_val-0.050925
 r_peak484859.000000 r_peak_value1.845377 rr_pre_interval229.000000 rr_post_interval352.000000 p_onset105.000000 p_onset_val0.194013 p_peak212.000000 p_peak_val0.473718 p_end274.000000 p_end_val-0.104919 qrs_onset337.000000 qrs_onset_val0.066268 qrs_end19.000000 qrs_end_val-0.255202 t_peak197.000000 t_peak_val1.076148 t_end274.000000 t_end_val-0.104919
 r_peak485211.000000 r_peak_value0.920280 rr_pre_interval352.000000 rr_post_interval167.000000 p_onset90.000000 p_onset_val0.053717 p_peak116.000000 p_peak_val0.109687 p_end120.000000 p_end_val0.092587 qrs_onset153.000000 qrs_onset_val0.267460 qrs_end15.000000 qrs_end_val-0.289609 t_peak87.000000 t_peak_val0.085628 t_end90.000000 t_end_val0.053717
 r_peak485378.000000 r_peak_value1.251973 rr_pre_interval167.000000 rr_post_interval284.000000 p_onset237.000000 p_onset_val0.021897 p_peak255.000000 p_peak_val0.047416 p_end255.000000 p_end_val0.047416 qrs_onset262.000000 qrs_onset_val-0.002443 qrs_end16.000000 qrs_end_val-0.167950 t_peak74.000000 t_peak_val0.092563 t_end109.000000 t_end_val-0.013075
 r_peak485662.000000 r_peak_value1.713764 rr_pre_interval284.000000 rr_post_interval245.000000 p_onset125.000000 p_onset_val0.022681 p_peak172.000000 p_peak_val0.103653 p_end190.000000 p_end_val-0.008573 qrs_onset236.000000 qrs_onset_val0.960098 qrs_end16.000000 qrs_end_val-0.263493 t_peak127.000000 t_peak_val0.035267 t_end171.000000 t_end_val0.074124
 r_peak485907.000000 r_peak_value1.925318 rr_pre_interval245.000000 rr_post_interval273.000000 p_onset116.000000 p_onset_val-0.131440 p_peak175.000000 p_peak_val0.055017 p_end197.000000 p_end_val-0.000485 qrs_onset258.000000 qrs_onset_val0.286291 qrs_end4.000000 qrs_end_val1.621870 t_peak91.000000 t_peak_val0.061494 t_end95.000000 t_end_val0.008155
 r_peak486180.000000 r_peak_value1.299457 rr_pre_interval273.000000 rr_post_interval485.000000 p_onset431.000000 p_onset_val0.028761 p_peak460.000000 p_peak_val0.036397 p_end458.000000 p_end_val0.002306 qrs_onset465.000000 qrs_onset_val0.063717 qrs_end17.000000 qrs_end_val-0.117078 t_peak232.000000 t_peak_val0.920064 t_end295.000000 t_end_val-0.046408
 r_peak486665.000000 r_peak_value1.447026 rr_pre_interval485.000000 rr_post_interval293.000000 p_onset114.000000 p_onset_val0.101347 p_peak185.000000 p_peak_val0.052474 p_end194.000000 p_end_val0.026078 qrs_onset275.000000 qrs_onset_val-0.029815 qrs_end19.000000 qrs_end_val-0.311141 t_peak125.000000 t_peak_val0.125360 t_end181.000000 t_end_val0.032412
 r_peak486958.000000 r_peak_value1.735060 rr_pre_interval293.000000 rr_post_interval228.000000 p_onset101.000000 p_onset_val-0.033963 p_peak168.000000 p_peak_val0.048201 p_end169.000000 p_end_val0.039502 qrs_onset207.000000 qrs_onset_val-0.018133 qrs_end19.000000 qrs_end_val-0.292352 t_peak90.000000 t_peak_val0.014046 t_end105.000000 t_end_val-0.008978
 r_peak487186.000000 r_peak_value1.881052 rr_pre_interval228.000000 rr_post_interval228.000000 p_onset139.000000 p_onset_val-0.045891 p_peak170.000000 p_peak_val0.042572 p_end186.000000 p_end_val0.037180 qrs_onset214.000000 qrs_onset_val0.450253 qrs_end17.000000 qrs_end_val-0.309246 t_peak84.000000 t_peak_val0.054737 t_end117.000000 t_end_val-0.123758
 r_peak487414.000000 r_peak_value1.170298 rr_pre_interval228.000000 rr_post_interval289.000000 p_onset220.000000 p_onset_val-0.011207 p_peak257.000000 p_peak_val0.053389 p_end265.000000 p_end_val0.033404 qrs_onset272.000000 qrs_onset_val0.163059 qrs_end16.000000 qrs_end_val-0.158871 t_peak78.000000 t_peak_val0.085721 t_end111.000000 t_end_val-0.026946
 r_peak487703.000000 r_peak_value1.140675 rr_pre_interval289.000000 rr_post_interval260.000000 p_onset211.000000 p_onset_val-0.009606 p_peak239.000000 p_peak_val0.087432 p_end224.000000 p_end_val0.007886 qrs_onset231.000000 qrs_onset_val0.011899 qrs_end18.000000 qrs_end_val-0.225783 t_peak88.000000 t_peak_val0.060889 t_end91.000000 t_end_val0.046313
 r_peak487963.000000 r_peak_value1.594596 rr_pre_interval260.000000 rr_post_interval355.000000 p_onset311.000000 p_onset_val-0.031536 p_peak334.000000 p_peak_val0.047304 p_end325.000000 p_end_val-0.025393 qrs_onset332.000000 qrs_onset_val-0.028778 qrs_end21.000000 qrs_end_val-0.230670 t_peak87.000000 t_peak_val0.137221 t_end89.000000 t_end_val0.122535
 r_peak488318.000000 r_peak_value1.724858 rr_pre_interval355.000000 rr_post_interval523.000000 p_onset457.000000 p_onset_val0.056568 p_peak482.000000 p_peak_val0.098042 p_end498.000000 p_end_val0.017666 qrs_onset509.000000 qrs_onset_val0.149030 qrs_end20.000000 qrs_end_val-0.201051 t_peak241.000000 t_peak_val1.116771 t_end301.000000 t_end_val-0.002996
 r_peak488841.000000 r_peak_value0.851962 rr_pre_interval523.000000 rr_post_interval175.000000 p_onset95.000000 p_onset_val0.148322 p_peak145.000000 p_peak_val0.205581 p_end149.000000 p_end_val0.204045 qrs_onset159.000000 qrs_onset_val0.291411 qrs_end21.000000 qrs_end_val-0.219184 t_peak91.000000 t_peak_val0.184279 t_end95.000000 t_end_val0.148322
 r_peak489016.000000 r_peak_value0.931272 rr_pre_interval175.000000 rr_post_interval277.000000 p_onset137.000000 p_onset_val-0.075910 p_peak179.000000 p_peak_val0.012870 p_end207.000000 p_end_val-0.084434 qrs_onset264.000000 qrs_onset_val0.361552 qrs_end22.000000 qrs_end_val-0.179967 t_peak77.000000 t_peak_val0.226033 t_end79.000000 t_end_val0.214952
 r_peak489293.000000 r_peak_value1.305565 rr_pre_interval277.000000 rr_post_interval182.000000 p_onset104.000000 p_onset_val-0.048747 p_peak161.000000 p_peak_val0.110502 p_end147.000000 p_end_val0.009357 qrs_onset154.000000 qrs_onset_val0.108605 qrs_end20.000000 qrs_end_val-0.422382 t_peak94.000000 t_peak_val0.037007 t_end104.000000 t_end_val-0.048747
 r_peak489475.000000 r_peak_value1.781050 rr_pre_interval182.000000 rr_post_interval213.000000 p_onset134.000000 p_onset_val-0.088057 p_peak188.000000 p_peak_val0.035628 p_end194.000000 p_end_val0.148182 qrs_onset201.000000 qrs_onset_val0.414844 qrs_end24.000000 qrs_end_val-0.428136 t_peak80.000000 t_peak_val0.106303 t_end119.000000 t_end_val-0.224451
 r_peak489688.000000 r_peak_value0.847397 rr_pre_interval213.000000 rr_post_interval176.000000 p_onset73.000000 p_onset_val0.170188 p_peak118.000000 p_peak_val0.059660 p_end125.000000 p_end_val-0.000341 qrs_onset161.000000 qrs_onset_val0.215942 qrs_end16.000000 qrs_end_val-0.268794 t_peak73.000000 t_peak_val0.170188 t_end125.000000 t_end_val-0.000341
 r_peak489864.000000 r_peak_value1.086554 rr_pre_interval176.000000 rr_post_interval225.000000 p_onset171.000000 p_onset_val0.012101 p_peak201.000000 p_peak_val0.034341 p_end211.000000 p_end_val0.365611 qrs_onset218.000000 qrs_onset_val1.194544 qrs_end18.000000 qrs_end_val-0.242696 t_peak77.000000 t_peak_val0.030800 t_end110.000000 t_end_val-0.019748
 r_peak490089.000000 r_peak_value1.626630 rr_pre_interval225.000000 rr_post_interval210.000000 p_onset161.000000 p_onset_val-0.023759 p_peak186.000000 p_peak_val0.013089 p_end182.000000 p_end_val-0.168008 qrs_onset189.000000 qrs_onset_val-0.095110 qrs_end14.000000 qrs_end_val-0.183152 t_peak82.000000 t_peak_val0.002367 t_end86.000000 t_end_val-0.039749
 r_peak490299.000000 r_peak_value2.022807 rr_pre_interval210.000000 rr_post_interval146.000000 p_onset48.000000 p_onset_val-0.432980 p_peak89.000000 p_peak_val0.046755 p_end91.000000 p_end_val0.021504 qrs_onset133.000000 qrs_onset_val0.112695 qrs_end19.000000 qrs_end_val-0.510892 t_peak86.000000 t_peak_val-0.022758 t_end91.000000 t_end_val0.021504
 r_peak490445.000000 r_peak_value1.645252 rr_pre_interval146.000000 rr_post_interval285.000000 p_onset233.000000 p_onset_val-0.069184 p_peak264.000000 p_peak_val0.012495 p_end263.000000 p_end_val-0.000296 qrs_onset270.000000 qrs_onset_val0.404579 qrs_end18.000000 qrs_end_val-0.178699 t_peak77.000000 t_peak_val0.092677 t_end80.000000 t_end_val0.067928
 r_peak490730.000000 r_peak_value1.186553 rr_pre_interval285.000000 rr_post_interval173.000000 p_onset118.000000 p_onset_val0.124137 p_peak152.000000 p_peak_val0.269763 p_end152.000000 p_end_val0.269763 qrs_onset159.000000 qrs_onset_val0.046190 qrs_end15.000000 qrs_end_val-0.220030 t_peak101.000000 t_peak_val0.141347 t_end118.000000 t_end_val0.124137
 r_peak490903.000000 r_peak_value1.146067 rr_pre_interval173.000000 rr_post_interval228.000000 p_onset111.000000 p_onset_val-0.000861 p_peak146.000000 p_peak_val0.088041 p_end152.000000 p_end_val0.034921 qrs_onset205.000000 qrs_onset_val0.028683 qrs_end15.000000 qrs_end_val-0.132854 t_peak82.000000 t_peak_val0.107413 t_end83.000000 t_end_val0.098761
 r_peak491131.000000 r_peak_value1.407071 rr_pre_interval228.000000 rr_post_interval264.000000 p_onset123.000000 p_onset_val0.113759 p_peak170.000000 p_peak_val0.175393 p_end227.000000 p_end_val-0.013696 qrs_onset247.000000 qrs_onset_val0.132871 qrs_end18.000000 qrs_end_val-0.420751 t_peak88.000000 t_peak_val0.276048 t_end92.000000 t_end_val0.263414
 r_peak491395.000000 r_peak_value1.540330 rr_pre_interval264.000000 rr_post_interval271.000000 p_onset135.000000 p_onset_val-0.126539 p_peak181.000000 p_peak_val0.071582 p_end191.000000 p_end_val0.056286 qrs_onset258.000000 qrs_onset_val0.507510 qrs_end19.000000 qrs_end_val-0.259419 t_peak74.000000 t_peak_val0.035969 t_end75.000000 t_end_val0.002584
 r_peak491666.000000 r_peak_value1.391302 rr_pre_interval271.000000 rr_post_interval324.000000 p_onset236.000000 p_onset_val-0.011143 p_peak270.000000 p_peak_val0.050940 p_end278.000000 p_end_val0.005532 qrs_onset299.000000 qrs_onset_val-0.012980 qrs_end15.000000 qrs_end_val-0.235627 t_peak79.000000 t_peak_val0.077444 t_end116.000000 t_end_val-0.012303
 r_peak491990.000000 r_peak_value1.657238 rr_pre_interval324.000000 rr_post_interval254.000000 p_onset120.000000 p_onset_val-0.043009 p_peak180.000000 p_peak_val0.053824 p_end210.000000 p_end_val-0.080831 qrs_onset228.000000 qrs_onset_val-0.022413 qrs_end9.000000 qrs_end_val0.262990 t_peak127.000000 t_peak_val-0.003574 t_end181.000000 t_end_val0.047507
 r_peak492244.000000 r_peak_value1.904122 rr_pre_interval254.000000 rr_post_interval286.000000 p_onset177.000000 p_onset_val-0.022587 p_peak202.000000 p_peak_val0.033023 p_end220.000000 p_end_val-0.047838 qrs_onset262.000000 qrs_onset_val-0.001520 qrs_end25.000000 qrs_end_val-0.329481 t_peak94.000000 t_peak_val0.069236 t_end182.000000 t_end_val-0.051569
 r_peak492530.000000 r_peak_value1.908559 rr_pre_interval286.000000 rr_post_interval216.000000 p_onset171.000000 p_onset_val-0.032258 p_peak192.000000 p_peak_val0.038416 p_end194.000000 p_end_val-0.000957 qrs_onset201.000000 qrs_onset_val0.413009 qrs_end21.000000 qrs_end_val-0.321912 t_peak85.000000 t_peak_val-0.046990 t_end116.000000 t_end_val-0.084061
 r_peak492746.000000 r_peak_value1.375155 rr_pre_interval216.000000 rr_post_interval269.000000 p_onset218.000000 p_onset_val0.058573 p_peak248.000000 p_peak_val0.123965 p_end255.000000 p_end_val0.304624 qrs_onset262.000000 qrs_onset_val0.829105 qrs_end16.000000 qrs_end_val-0.204451 t_peak84.000000 t_peak_val0.160490 t_end178.000000 t_end_val-0.017679
 r_peak493015.000000 r_peak_value1.332757 rr_pre_interval269.000000 rr_post_interval241.000000 p_onset125.000000 p_onset_val-0.008071 p_peak157.000000 p_peak_val0.058166 p_end182.000000 p_end_val0.041256 qrs_onset221.000000 qrs_onset_val0.069782 qrs_end14.000000 qrs_end_val-0.157493 t_peak132.000000 t_peak_val0.019688 t_end152.000000 t_end_val0.033418
 r_peak493256.000000 r_peak_value1.703763 rr_pre_interval241.000000 rr_post_interval270.000000 p_onset147.000000 p_onset_val-0.126236 p_peak203.000000 p_peak_val0.028556 p_end235.000000 p_end_val-0.036538 qrs_onset250.000000 qrs_onset_val-0.016789 qrs_end17.000000 qrs_end_val-0.256285 t_peak78.000000 t_peak_val0.062073 t_end97.000000 t_end_val-0.043208
 r_peak493526.000000 r_peak_value1.587695 rr_pre_interval270.000000 rr_post_interval154.000000 p_onset107.000000 p_onset_val-0.042850 p_peak133.000000 p_peak_val0.105991 p_end132.000000 p_end_val0.040207 qrs_onset139.000000 qrs_onset_val0.070490 qrs_end18.000000 qrs_end_val-0.333591 t_peak84.000000 t_peak_val0.103810 t_end90.000000 t_end_val0.081773
 r_peak493680.000000 r_peak_value1.442151 rr_pre_interval154.000000 rr_post_interval240.000000 p_onset95.000000 p_onset_val-0.045876 p_peak165.000000 p_peak_val-0.002962 p_end177.000000 p_end_val-0.046552 qrs_onset227.000000 qrs_onset_val0.302383 qrs_end15.000000 qrs_end_val-0.252785 t_peak62.000000 t_peak_val0.076243 t_end89.000000 t_end_val-0.051440
 r_peak493920.000000 r_peak_value1.195297 rr_pre_interval240.000000 rr_post_interval403.000000 p_onset280.000000 p_onset_val-0.076924 p_peak338.000000 p_peak_val0.078685 p_end365.000000 p_end_val-0.073569 qrs_onset381.000000 qrs_onset_val-0.048678 qrs_end15.000000 qrs_end_val-0.168999 t_peak122.000000 t_peak_val0.156757 t_end176.000000 t_end_val0.080972
 r_peak494323.000000 r_peak_value1.827009 rr_pre_interval403.000000 rr_post_interval300.000000 p_onset131.000000 p_onset_val0.033721 p_peak198.000000 p_peak_val0.036132 p_end230.000000 p_end_val-0.037616 qrs_onset275.000000 qrs_onset_val-0.060189 qrs_end22.000000 qrs_end_val-0.341206 t_peak133.000000 t_peak_val0.062468 t_end190.000000 t_end_val-0.012692
 r_peak494623.000000 r_peak_value1.935080 rr_pre_interval300.000000 rr_post_interval231.000000 p_onset164.000000 p_onset_val-0.042584 p_peak199.000000 p_peak_val0.007166 p_end209.000000 p_end_val-0.053900 qrs_onset216.000000 qrs_onset_val0.293779 qrs_end22.000000 qrs_end_val-0.329483 t_peak97.000000 t_peak_val0.024371 t_end164.000000 t_end_val-0.042584
 r_peak494854.000000 r_peak_value1.861834 rr_pre_interval231.000000 rr_post_interval311.000000 p_onset257.000000 p_onset_val-0.018652 p_peak286.000000 p_peak_val0.047714 p_end287.000000 p_end_val0.031163 qrs_onset294.000000 qrs_onset_val0.210520 qrs_end19.000000 qrs_end_val-0.240849 t_peak87.000000 t_peak_val0.107316 t_end132.000000 t_end_val-0.109562
 r_peak495165.000000 r_peak_value1.224735 rr_pre_interval311.000000 rr_post_interval221.000000 p_onset173.000000 p_onset_val0.064841 p_peak196.000000 p_peak_val0.086142 p_end191.000000 p_end_val0.042678 qrs_onset198.000000 qrs_onset_val0.070327 qrs_end15.000000 qrs_end_val-0.131596 t_peak90.000000 t_peak_val0.093624 t_end149.000000 t_end_val0.070485
 r_peak495386.000000 r_peak_value1.774715 rr_pre_interval221.000000 rr_post_interval295.000000 p_onset234.000000 p_onset_val-0.078465 p_peak269.000000 p_peak_val0.036330 p_end271.000000 p_end_val0.017444 qrs_onset278.000000 qrs_onset_val0.206050 qrs_end17.000000 qrs_end_val-0.246020 t_peak83.000000 t_peak_val0.131927 t_end118.000000 t_end_val-0.070048
 r_peak495681.000000 r_peak_value1.730440 rr_pre_interval295.000000 rr_post_interval234.000000 p_onset85.000000 p_onset_val-0.019521 p_peak154.000000 p_peak_val0.070269 p_end157.000000 p_end_val0.022996 qrs_onset220.000000 qrs_onset_val0.371397 qrs_end18.000000 qrs_end_val-0.377723 t_peak88.000000 t_peak_val0.057469 t_end157.000000 t_end_val0.022996
 r_peak495915.000000 r_peak_value1.775286 rr_pre_interval234.000000 rr_post_interval288.000000 p_onset125.000000 p_onset_val-0.093519 p_peak185.000000 p_peak_val0.058939 p_end188.000000 p_end_val0.013438 qrs_onset274.000000 qrs_onset_val0.491284 qrs_end17.000000 qrs_end_val-0.276125 t_peak78.000000 t_peak_val0.143253 t_end80.000000 t_end_val0.088849
 r_peak496203.000000 r_peak_value1.258776 rr_pre_interval288.000000 rr_post_interval273.000000 p_onset149.000000 p_onset_val-0.029809 p_peak184.000000 p_peak_val0.072760 p_end185.000000 p_end_val0.047870 qrs_onset252.000000 qrs_onset_val-0.060877 qrs_end22.000000 qrs_end_val-0.267210 t_peak95.000000 t_peak_val0.093122 t_end104.000000 t_end_val0.074266
